Year,Make ,Model,Price Carbon,Price Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
,Jeep,Renegade,250,350,120,170,220,320
,Jeep,Rubicon,250,350,120,170,220,320
,Jeep,Wrangler,250,350,100,150,200,300
,Jeep,Grand Wagoneer,340,440,170,200,325,425
,Karma,Revero,260,360,170,200,200,300
,Kia,Cadenza,200,280,100,150,170,260
,kia,Carnival,250,350,120,170,220,320
,Kia,EV6,225,325,100,150,195,275
2019,Kia,Forte,200,280,100,150,170,260
2018,Kia,Forte,200,300,120,170,170,260
,Kia,Niro Ex,225,325,100,150,195,275
,Kia,Optima,200,280,100,150,170,260
,Kia,K5,220,320,120,170,170,260
,Kia,Rio,200,280,100,150,170,260
,Kia,Sedona,280,380,120,170,240,340
2021,Kia,Seltos,225,325,100,150,195,275
,Kia,Spectra,200,280,100,150,170,260
2023,Kia,Sportage,250,350,120,170,220,320
,Kia,Sport,225,325,100,150,195,275
,Kia,Sorrento,250,350,120,170,220,320
,Kia,Soul,200,280,100,150,170,260
,Kia,Stinger,200,280,100,150,170,260
,Kia,Telluride,260,360,100,150,220,320
,Land Rover,Defender,260,360,100,150,220,320
,Land Rover,Discovery Sport,250,350,100,150,220,320
,Land Rover,Range Rover,340,440,170,200,325,400
2022,Land Rover,Range Rover,350,450,170,200,325,400
,Land Rover,Range Rover Evoque,260,360,100,150,225,325
,Land Rover,Range Rover Sport,340,440,120,170,325,425
,Land Rover,Range Rover Velar,300,400,120,170,260,360
,Lamborghini,Aventador,400,500,170,200,350,425
,Lamborghini,Urus,360,460,170,200,325,425
,Lexus,CT 200h ,200,300,120,170,170,260
,Lexus,200t,200,280,100,150,170,260
2000,Lexus,es300,200,300,100,150,170,260
2020,Lexus,es300h,200,280,120,170,170,260
2022,Lexus,es300h,200,280,120,170,170,260
,Lexus,es350,200,280,120,170,170,260
,Lexus,G460,250,350,120,170,220,320
,Lexus,GS,200,280,100,150,170,260
,Lexus,GX,260,360,100,150,220,320
,Lexus,HS 260h,200,300,120,170,170,260
2014,Lexus,is260,200,280,120,170,170,260
,Lexus,is300,200,280,100,150,170,260
2018,Lexus,is300,200,300,120,170,170,260
,Lexus,IS 350,200,280,120,170,170,260
,Lexus,LC 500,260,360,170,200,220,300
,Lexus,LX,260,360,120,170,220,320
,Lexus,LS 430,200,280,100,150,170,260
,Lexus,LS 460,200,280,120,170,170,260
,Lexus ,LX570,340,440,170,200,300,400
2016,Lexus,NX 200,250,325,120,170,195,275
,Lexus,NX 300,250,350,120,170,200,300
,Lexus,nx350,250,350,120,170,225,325
,Lexus,RC,180,280,100,150,120,190
,Lexus,RX 350 & 450,250,350,120,170,195,275
,Lexus,RZ450e,250,350,120,170,195,275
,Lexus,sc300,180,280,100,150,120,190
,Lexus,sc400,180,280,100,150,120,190
,Lexus ,TX,250,350,100,150,225,300
,Lexus,UX 200 or 260h,250,350,120,170,195,275
,Lincoln ,Aviator,250,350,100,150,220,320
,Lincoln ,MKC,250,350,120,170,200,300
,Lincoln ,MKS,200,280,100,150,170,260
,Lincoln ,MKZ,200,300,120,170,180,260
,Lincoln,Navigator,250,350,100,150,220,320
2024,Lincoln,Nautilus,250,350,100,150,200,300
,Lincoln,Nautilus,250,350,120,170,220,320
,Lincoln,Town car,200,280,100,150,170,260
,Lucid,Air,325,425,170,200,260,300
,Maserati,Ghibl,280,380,100,150,225,325
,Masarati,Grecale,325,425,100,150,275,360
,Masarati,Levante,325,425,100,150,275,360
,Masarati,Quattroporte,280,380,100,150,250,330
,Mazda ,2,200,280,100,150,170,260
,Mazda ,3,200,280,100,150,170,260
,Mazda,3 Hatchback,200,300,100,150,180,260
2009,Mazda,5,300,400,120,170,260,360
,Mazda,5 sport b,225,325,100,150,170,260
,Mazda,6,200,280,100,150,170,260
,Mazda,a45,200,280,100,150,170,260
,Mazda ,CX3,225,325,100,150,195,275
,Mazda ,CX5,225,325,100,150,195,275
,Mazda,cx7,225,325,100,150,195,275
,Mazda,cx9,225,325,100,150,195,275
